Title
Tucker and Dale vs. Evil (2010)
Killer Klowns from Outer Space (1988)
Idle Hands (1999)
Hausu (1977)
Little Shop of Horrors (1986)
Scream (1996)
The Texas Chain Saw Massacre (1974)
The Final Girls (2015)
Night of the Creeps (1986)
Big Trouble in Little China (1986)
Predator (1987)
The Running Man (1987)
Escape from New York (1981)
Redline (2009)
Paprika (2006)
Summer Wars (2009)
Perfect Blue (1997)
Vampire Hunter D: Bloodlust (2000)
The Thing (1982)
They Live (1988)
Beetlejuice (1988)
Return of the Living Dead (1985)
